i,target,loss_see,loss_uni,loss_bi,loss_actual,w_see,w_uni,w_bi
195860,32,0.354220,1.972934,1.788090,0.365854,0.987464,0.003048,0.009488
195861,107,1.577041,7.839903,7.874306,1.595176,0.987346,0.003236,0.009418
195862,43,0.734337,6.766795,4.310288,0.749461,0.988843,0.003018,0.008139
195863,43,0.026027,6.766001,1.923476,0.038226,0.989500,0.002852,0.007647
195864,41,0.315224,5.933484,2.090447,0.326752,0.989780,0.002663,0.007557
195865,32,0.009130,1.972942,1.445340,0.018753,0.989920,0.002583,0.007497
195866,123,0.561112,7.879234,5.913629,0.575724,0.989722,0.002767,0.007510
195867,10,0.414693,5.079826,0.678072,0.419867,0.990710,0.002557,0.006734
195868,32,0.014249,1.972935,0.419333,0.019471,0.990435,0.002555,0.007010
195869,32,0.002384,1.972914,0.856671,0.010025,0.990006,0.002740,0.007253
195870,32,0.012860,1.972892,0.856647,0.020732,0.989687,0.002915,0.007398
195871,32,0.053367,1.972871,0.856624,0.061303,0.989378,0.003080,0.007542
195872,32,0.255881,1.972849,0.856601,0.262929,0.989070,0.003239,0.007691
195873,32,0.251854,1.972828,0.856578,0.259191,0.988711,0.003408,0.007882
195874,32,0.204617,1.972806,0.856554,0.212506,0.988365,0.003567,0.008068
195875,32,0.203755,1.972785,0.856531,0.211890,0.988046,0.003714,0.008240
195876,102,5.582793,6.199937,5.590892,5.584797,0.987739,0.003853,0.008408
195877,111,0.662202,5.617147,2.371127,0.676761,0.987156,0.004112,0.008732
195878,114,0.027048,5.447069,2.278800,0.042428,0.987494,0.003878,0.008629
195879,40,2.135662,5.933145,3.573771,2.148222,0.987971,0.003629,0.008400
195880,105,0.118728,4.721975,2.470927,0.133461,0.988053,0.003571,0.008376
195881,110,0.430161,5.141946,1.528827,0.441242,0.988417,0.003444,0.008139
195882,116,0.415105,4.436388,1.696967,0.426619,0.988471,0.003322,0.008206
195883,32,0.247778,1.972815,2.288853,0.260114,0.988495,0.003277,0.008228
